contract_id,condition,question_id,question_target,ground_truth,expect_clash,clash_type,validation_passed,total_attempts,hard_reject,hard_reject_reason,accepted_at_attempt,error,rouge_l,bertscore_precision,bertscore_recall,bertscore_f1,latency_rag,latency_extraction,latency_validation,latency_total
001,ovrag,Q1,Loan type classification,CLEAN,False,,True,1,False,,0,,0.625,0.9263,0.933,0.9296,1.711029052734375,4.183767795562744,1.8671600818634033,7.762113094329834
001,ovrag,Q2,Party classification,CLEAN,False,,True,1,False,,0,,0.6111,0.9448,0.929,0.9368,1.3813209533691406,4.863780975341797,1.3538382053375244,7.599073171615601
001,ovrag,Q3,SecuredLoan / UnsecuredLoan disjointness,CLEAN,False,,True,3,False,,2,,0.1639,0.8537,0.9361,0.893,6.28292989730835,7.511257171630859,2.9425840377807617,16.737131118774414
001,ovrag,Q4,OpenEndCredit / ClosedEndCredit disjointness,CLEAN,False,,True,1,False,,0,,0.3934,0.883,0.9444,0.9126,2.007235050201416,3.4243581295013428,1.1908888816833496,6.622555732727051
001,ovrag,Q5,Comprehensive extraction,CLEAN,False,,True,1,False,,0,,0.55,0.8684,0.9373,0.9015,2.649146795272827,5.167652130126953,1.1110639572143555,8.927956819534302
001,plain,Q1,Loan type classification,CLEAN,False,,,1,False,,,,0.3571,0.8805,0.9236,0.9016,1.541776180267334,0.0,0.0,1.5417850017547607
001,plain,Q2,Party classification,CLEAN,False,,,1,False,,,,0.5946,0.9452,0.9326,0.9388,1.0051400661468506,0.0,0.0,1.0051507949829102
001,plain,Q3,SecuredLoan / UnsecuredLoan disjointness,CLEAN,False,,,1,False,,,,0.5882,0.9655,0.9662,0.9659,1.1614649295806885,0.0,0.0,1.1614699363708496
001,plain,Q4,OpenEndCredit / ClosedEndCredit disjointness,CLEAN,False,,,1,False,,,,0.4364,0.8867,0.9435,0.9142,1.4423389434814453,0.0,0.0,1.442352294921875
001,plain,Q5,Comprehensive extraction,CLEAN,False,,,1,False,,,,0.4719,0.8899,0.9465,0.9174,1.5226149559020996,0.0,0.0,1.5226221084594727
